"HolderAddress","Balance","PendingBalanceUpdate"
"0x34e66226c4486b7ec2c0ebe0e215bd01a5121f88","1241424.595","No"
"0x34f3f627f0e737afaf508c2959401a5863e628d6","6282.71631122571","No"
"0x34fbf6af1bcc58d24bac64539ad9d1a51322aa09","6507.77128955241","No"
"0x350e142e9c7744b1315dd3c1ea4a5abeb74c05d8","670.15690721","No"
"0x3520b72f2a6fc38a86a0720e4d6b453d3fcec13b","23412.4804502613","No"
"0x35241fa05ae4e6b29650edd34ac0de5062061b9e","27681119.450068","No"
"0x353f9a7ed13ce2f3769478e72f1e20e1db051067","18541.8420387175","No"
"0x35403a4221f6108439278a3c2cbc8f993d590260","1422323.60597102","No"
"0x35fb126505c931b824cbb4b4dff81d29a3079144","1916.3362000001","No"
"0x361a1e6d30978aaddaef579845e8740e27ddfddf","90427.8698945978","No"
"0x363f7fe465853e862d1cbf045ae8fa654dda245f","11911.1101313248","No"
"0x366cae5671ed0c279b4ba862d64d777baea88b83","7180.01767877907","No"
"0x36a89f4dce50a59c1e8c898af67a3734fe0fe6c3","38453.092","No"
"0x36bd14eaf211d65164e1e0a2eab5c98b4b734875","10530","No"
"0x372d2a355c2813e8020c488c049c598338ca6177","7100","No"
"0x37a5ab6ebf1ecb9c36d8eaf100e3f2f0870a2bdf","4164078.59117906","No"
"0x37b1f6bd94ec161cb0d37c2d8276ac0218f3d8f9","5.7435124500199E-05","No"
"0x37efdf7dbb51e666f5e834a1508286f3ba3ff625","5000","No"
"0x386e9a4338749d628f1b41fa1bc2a12e026d59ee","23455.936","No"
"0x386f40a53f94485f6dba491bf5ae1887830bd36a","6727.74981753767","No"
"0x38b3ee3195c18f2dd9cf3e0c2de33a9bd1a42307","1378.64471161117","No"
"0x38b8268ca53e6ac25fdf19d023c383257a84d165","7696.33317142822","No"
"0x39745559449132e991ab9bc23257d5a92c8760cf","58251.872","No"
"0x39a30e8d93be5ea7a1b0d1ebe1082cd27efe4c41","35994.611558793","No"
"0x39e903bda248e8e3c5e6a515fc8908aa700fcf5f","4651.476","No"
"0x3a0928fabd853cb655f2680c79a6ee140e8e57ae","16000","No"
"0x3a7af672beb23e8b43132449d7b878dbeb893f03","1","No"
"0x3a8f476dd4172229961f4116985484b5405f612a","56580.4715428456","No"
